BNC	TAG_ING	ING	VERB_LEMMA	ING_LEMMA
A06	VVG	speaking	force	speak
A08	VBG	being	nudge	be
A0C	VVG	taking	talk	tak
A0F	VVG	taking	bully	take
A0H	VVG	trying	influence	try
A0H	VVG	thinking	delude	think
A0J	VVG	thinking	fool	think
A0J	AJ0-NN1	drug-taking	push	take
A0K	VVG	joining	recruit	join
A0P	VVG	giving	talk	give
A0U	VVG	paying	hoodwink	pay
A15	VVG	making	bully	make
A18	VVG	thinking	trick	think
A18	VVG	thinking	trick	think
A1B	VVG	recovering	shock	recover
A1B	VVG	deciding	provoke	decide
A1B	VVG	seeming	lead	seem
A1B	VVG	avowing	coerce	avow
A1B	NN1-VVG	writing	coerce	write
A1L	VVG	reading	bludgeon	read
A1V	VVG	spending	frighten	spend
A1W	VVG	staying	intimidate	stay
A27	VHG	having	pressure	have
A2S	VVG	throwing	force	throw
A2S	VVG	winning	sting	win
A2U	VVG	beating	bludgeon	beat
A36	NN1-VVG	exclaiming	force	exclaim
A3D	VVG	pretending	trick	pretend
A3G	VVG	handing	trick	hand
A3G	VVG	thinking	hoodwink	think
A3L	AJ0-VVG	grabbing	sucker	grab
A40	VVG	raising	sting	raise
A46	NN1-VVG	accepting	press	accept
A4D	NN1-VVG	adopting	bamboozle	adopt
A4F	VVG	thinking	lure	think
A4U	VVG	thinking	seduce	think
A4W	VVG	playing	cajole	play
A56	VVG	wondering	provoke	wonder
A5G	VVG	subscribing	bully	subscribe
A5G	VVG	subscribing	dragoon	subscribe
A5M	VVG	leaving	coax	leave
A5M	VVG	giving	nudge	give
A64	VVG	paying	drive	pay
A64	NN1-VVG	collaborating	terrorise	collaborate
A64	AJ0-VVG	hauling	bludgeon	haul
A69	VVG	thinking	deceive	think
A69	VVG	imagining	beguile	imagine
A6A	VVG	spending	lead	spend
A6C	VVG	buying	con	buy
A6D	VVG	leaving	blackmail	leave
A6E	VDG	doing	talk	do
A6E	VVG	believing	con	believe
A6F	VVG	accepting	bounce	accept
A6J	NN1-VVG	saying	drag	say
A6M	VVG	becoming	will	become
A6M	AJ0-VVG	importing	trap	import
A6S	VVG	believing	mislead	believe
A6V	VVG	accepting	stun	accept
A77	VVG	letting	talk	let
A7C	VVG	taking	lull	take
A7C	VVG	becoming	talk	become
A7C	AJ0-VVG	seeing	prod	see
A7G	VVG	reviewing	pressure	review
A7J	NN1-VVG	dismantling	tempt	dismantle
A7L	VVG	working	browbeat	work
A7L	VVG	working	encourage	work
A7L	VVG	showing	blackmail	show
A7L	NN1-VVG	feeling	lure	feel
A7M	NN1-VVG	dwelling	provoke	dwell
A7W	VVG	saying	goad	say
A7Y	VVG	accepting	push	accept
A80	VVG	throwing	force	throw
A87	VVG	forming	coax	form
A8B	NN1	engineering	tempt	engineer
A8R	VVG	spending	con	spend
A8X	VVG	believing	dupe	believe
A8X	AJ0-VVG	supporting	terrorise	support
A8X	AJ0-VVG	supporting	terrorise	support
A9F	AJ0-VVG	thinking	mislead	think
AA6	VVG	sending	talk	send
AA7	VVG	selling	rush	sell
AA7	VVG	selling	rush	sell
AA8	VVG	adopting	stampede	adopt
AA9	VHG	having	fool	have
AAA	VVG	relaxing	scare	relax
AAB	VVG	spying	force	spy
AAC	AJ0-VVG	embracing	pressurise	embrace
AAF	NN1-VVG	making	lead	make
AAG	VVG	saying	nag	say
AAG	VVG	developing	nag	develop
AAJ	VBG	being	push	be
AAW	NN1-VVG	hiding	drive	hide
AAX	VVG	gulping	move	gulp
AB3	VVG	aspiring	seduce	aspire
AB3	VVG	accepting	terrify	accept
AB4	VVG	admitting	torture	admit
AB5	VVG	agreeing	talk	agree
ABD	VVG	giving	cajole	give
ABD	VVG	letting	bribe	let
ABD	VVG	choosing	force	choose
ABD	AJ0-VVG	tackling	lure	tackle
ABE	AJ0-VVG	banning	provoke	ban
ABE	AJ0-VVG	hiring	bully	hire
ABE	AJ0-VVG	buying	coax	buy
ABF	VVG	accepting	bamboozle	accept
ABF	VVG	thinking	push	think
ABG	VVG	agreeing	bounce	agree
ABG	VVG	announcing	push	announce
ABK	VVG	trading	bully	trade
ABK	VVG	launching	prod	launch
ABK	VVG	publishing	trick	publish
ABK	NN1-VVG	publishing	trick	publish
ABP	NN1-VVG	parting	coax	part
ABP	NN1-VVG	parting	bully	part
ABR	VVG	giving	pressurise	give
ABS	VVG	showing	talk	show
ABS	VVG	thinking	snare	think
ABV	VVG	thinking	fool	think
ABW	NN1-VVG	parting	trick	part
AC2	VVG	paying	penalise	pay
AC3	VDG	doing	provoke	do
AC3	NN1-VVG	drawing	encourage	draw
AC4	VVG	looking	bully	look
AC4	VVG	asking	shock	ask
AC7	VVG	accepting	beguile	accept
AC7	VDG	doing	persuade	do
ACB	VVG	admitting	force	admit
ACB	VVG	uncoiling	provoke	uncoil
ACJ	VHG	having	trick	have
ACN	VVG	imitating	coax	imitate
ACN	VVG	diluting	blackmail	dilute
ACN	NN1-VVG	parting	trick	part
ACS	VVG	putting	pervert	put
ACV	NN1-VVG	leaving	scare	leave
ACW	VVG	liking	trick	like
ACW	VVG	scuttling	scare	scuttle
AD0	VVG	eating	pressure	eat
AD0	VVG	breaking	trigger	break
AD1	VVG	giving	badger	give
AD2	VVG	acting	press	act
AD2	NN1-VVG	standing	press-gang	stand
AD7	AJ0-VVG	heaping	provoke	heap
ADA	VBG	being	tempt	be
ADB	VVG	believing	talk	believe
ADD	VVG	thinking	deceive	think
ADE	VVG	feeling	trigger	feel
ADE	VVG	feeling	catapult	feel
ADE	VVG	feeling	draw	feel
ADE	VVG	dealing	trigger	deal
ADE	AJ0-VVG	expressing	trigger	express
ADE	AJ0-VVG	expressing	force	express
ADF	AJ0-VVG	trying	force	try
ADF	NN1-VVG	performing	intimidate	perform
ADF	NN1-VVG	bucking	provoke	buck
ADL	VVG	handling	pitch	handle
ADP	VVG	concocting	tempt	concoct
ADP	VVG	singing	lure	sing
ADP	VVG	making	shock	make
ADS	NN1-VVG	co-operating	frighten	co-operate
ADW	VVG	giving	deceive	give
ADW	AJ0-VVG	expediting	bully	expedite
ADY	VVG	twisting	excite	twist
AE4	VVG	allowing	blackmail	allow
AE4	VVG	handing	bully	hand
AE4	VVG	reacting	alarm	react
AE9	VVG	returning	coerce	return
AEB	VVG	thinking	fool	think
AHC	VVG	running	cajole	run
AHC	VVG	contemplating	woo	contemplate
AHC	AJ0-VVG	running	talk	run
AHG	VVG	giving	shame	give
AHG	VVG	handing	pressurise	hand
AHG	VVG	believing	delude	believe
AHK	VVG	marrying	tempt	marry
AHL	VVG	watching	press-gang	watch
AHN	VVG	throwing	manipulate	throw
AHX	VVG	allowing	force	allow
AHX	VVG	establishing	bully	establish
AHX	VVG	thinking	fool	think
AJ6	VVG	accepting	provoke	accept
AJ6	VVG	apologising	draw	apologise
AJ8	VVG	believing	browbeat	believe
AJ8	VVG	buying	frighten	buy
AJJ	VVG	committing	force	commit
AJU	VVG	complying	press	comply
AJU	VVG	censoring	intimidate	censor
AJV	VVG	rejoining	pressurise	rejoin
AJX	VVG	selling	shock	sell
AJY	NN1-VVG	parting	talk	part
AJY	NN1-VVG	parting	cajole	part
AK8	VVG	thinking	trick	think
AKD	VVG	buying	mislead	buy
AKD	AJ0-VVG	buying	deceive	buy
AKE	VVG	making	force	make
AKH	VVG	choosing	rush	choose
AKH	VVG	making	steamroller	make
AKR	VVG	believing	dupe	believe
AKR	VVG	choosing	bounce	choose
AKS	VVG	befriending	force	befriend
AKV	VVG	thinking	deceive	think
AL2	VVG	investing	seduce	invest
AL3	VVG	joining	pressurise	join
AL6	VVG	overriding	manoeuvre	override
AL6	VVG	believing	deceive	believe
AL6	VVG	introducing	provoke	introduce
ALG	VVG	farming	encourage	farm
ALJ	VVG	helping	coerce	help
ALV	NN1-VVG	delaying	fool	delay
ALW	VVG	giving	badger	give
AM6	VVG	claiming	trap	claim
AM6	VVG	endowing	activate	endow
AM6	VVG	thinking	mislead	think
AM6	VVG	believing	trap	believe
